[Sun Mar 15 11:08:43 GMT 2020] [Deobfer/INFO] : Deobfer says: 'Hello, World!'
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Mappings found 5253 classes, 5253 fields and 5253 methods to rename
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Found 4976 files to remap!
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\a.class [ 0/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aa.class [ 1/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aaa$1.class [ 2/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aaa.class [ 3/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aab.class [ 4/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aac.class [ 5/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aad.class [ 6/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aae.class [ 7/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aaf.class [ 8/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aag.class [ 9/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aai$a.class [ 10/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aai.class [ 11/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aaj.class [ 12/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aak$1.class [ 13/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aak$2.class [ 14/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aak.class [ 15/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aal.class [ 16/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aam.class [ 17/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aan.class [ 18/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aao.class [ 19/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aap.class [ 20/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aaq.class [ 21/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aar.class [ 22/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aas.class [ 23/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aat.class [ 24/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aau.class [ 25/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aav.class [ 26/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aaw.class [ 27/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aax.class [ 28/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aay.class [ 29/4976 | 0% ]
[Sun Mar 15 11:08:44 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aaz$1.class [ 30/4976 | 0% ]
